都市計畫 0.004842(137/444)	房地合一 0.004524(128/478)	實價課稅 0.003287(88/390)	經濟復甦 0.002969(86/222)	高收益債 0.002863(82/144)	分離課稅 0.002757(78/78)	募款晚會 0.002651(75/75)	國民黨立委 0.002474(67/486)	景氣復甦 0.002368(71/178)	到現場 0.002156(61/138)	
郝龍斌 0.036372(1287/1432)	台北市長郝 0.010619(377/440)	市長胡志強 0.009228(330/654)	台中市長 0.005622(206/622)	台北市政府 0.005565(194/372)	快捷巴士 0.005338(188/202)	黨中央 0.005139(182/490)	台灣大道 0.004997(177/246)	專用道 0.004941(173/181)	搭車 0.004202(144/292)	
優於預期 0.003987(103/237)	機會獲得 0.003(81/120)	抽獎活動 0.002707(73/122)	無障礙 0.002341(65/150)	日本首相 0.002232(54/204)	陸軍司令部 0.002232(64/130)	運分析 0.001902(52/52)	食品公司 0.00172(49/82)	家扶兒 0.001683(46/62)	聯成電腦 0.001683(46/46)	
競選連任 0.003692(108/182)	交通部觀光局 0.003595(102/300)	台灣觀光 0.002591(82/266)	年輕族群 0.002462(74/230)	2014年8月 0.002041(55/796)	人說 0.001944(57/270)	司法互助 0.001911(59/79)	投資標的 0.001814(53/135)	柯文哲表示 0.001782(51/166)	今年5月 0.001717(49/354)	
自由貿易 0.004535(126/474)	解決問題 0.00307(93/356)	高美濕地 0.002477(67/114)	辦公大樓 0.002268(64/114)	今年4月 0.002128(67/366)	主要原因 0.002128(59/250)	回饋金 0.001779(51/136)	苗栗縣政府 0.001745(56/126)	綠建築 0.001675(47/196)	實彈射擊 0.001605(48/94)	
台北市長參選人 0.018111(821/1282)	參選人連勝文 0.015981(727/728)	國民黨台北市長 0.012381(564/564)	參選人柯文哲 0.007969(365/540)	柯文哲說 0.007332(334/334)	在野整合 0.006454(294/294)	醫師柯文哲 0.005796(264/264)	台大醫師 0.005181(235/236)	參選台北市長 0.004325(197/197)	競選總幹事 0.004127(188/188)	
伊波拉病毒 0.009474(292/292)	今天上午 0.005191(163/430)	行動電源 0.002174(68/160)	特任副主委 0.002142(66/81)	沒有人 0.002109(73/320)	伊波拉疫情 0.001979(61/61)	衛生組織 0.001914(59/104)	人死亡 0.00185(63/280)	方便民眾 0.00185(58/93)	醫護人員 0.001817(58/156)	
民進黨立委 0.00494(131/734)	航空公司 0.004025(110/808)	黨中央 0.003476(93/490)	人同行 0.00183(51/92)	相關訊息 0.001793(46/178)	順育樂 0.001647(45/45)	家庭因素 0.001537(40/102)	率團 0.001464(36/202)	辦事機構 0.001427(37/95)	優惠活動 0.001391(40/136)	
總統馬英九 0.023338(673/1040)	103年8月 0.018061(510/580)	國際機場 0.006198(165/308)	中共中央 0.004923(145/272)	器官捐贈 0.004639(131/131)	官員表示 0.004462(130/444)	8月27日 0.003365(84/146)	中國國台辦 0.002515(68/170)	中央政治局 0.002196(60/96)	花蓮縣長 0.002125(61/134)	
大陸國家 0.008407(289/634)	國家主席 0.007696(260/624)	南韓總統 0.005032(169/186)	總統朴槿惠 0.00447(152/228)	主席習 0.003908(136/484)	報告指出 0.003819(121/344)	台灣市場 0.003582(115/286)	開發銀行 0.003256(111/119)	中國國家 0.002842(98/206)	基礎設施 0.002753(85/166)	
人士說 0.005247(154/238)	今天宣布 0.00259(76/202)	移轉訂價 0.002181(64/64)	聲明表示 0.001772(48/156)	研究機構 0.00167(58/138)	經濟部長張家祝 0.001533(44/318)	玩遊戲 0.001397(41/81)	大陸投資 0.001397(48/123)	想說 0.001363(36/144)	大陸稅局 0.001363(40/40)	
基隆市長 0.013076(503/789)	議長黃景泰 0.009904(384/384)	市長選舉 0.00668(262/299)	參選基隆 0.005803(225/225)	基隆市議長 0.005648(219/219)	成交金額 0.005184(203/456)	媒體訪問 0.003379(130/222)	諮詢委員 0.003121(118/144)	上市公司 0.003069(119/260)	國民黨基隆 0.003043(118/118)	
鐵路電氣化 0.009667(310/310)	花東鐵路 0.009168(294/294)	普悠瑪號 0.008919(286/286)	到台東 0.004771(154/192)	普悠瑪列車 0.003586(115/115)	弱勢團體 0.002994(94/140)	訂票 0.002682(86/104)	台北到 0.002651(84/104)	電氣化通車 0.002401(77/77)	台北車站 0.002152(69/132)	
國際油價 0.006337(197/207)	中油公司 0.006207(191/212)	無鉛汽油 0.004809(148/148)	浮動油價 0.00273(84/84)	國內油價 0.002665(82/82)	超級柴油 0.002535(78/78)	桶裝瓦斯 0.00247(75/84)	柴油價格 0.00234(72/72)	凌晨零時 0.002112(66/70)	漢翔公司 0.001917(59/68)	
