基本工資 0.01105(402/700)	中華電信 0.009947(354/1046)	勞動部 0.006944(257/460)	工資審議 0.00518(188/188)	集團旗下 0.004437(159/382)	金融機構 0.004133(157/352)	審議委員會 0.004023(147/290)	公司董事長 0.003472(134/320)	科技公司 0.003114(118/262)	企業社會 0.002893(103/220)	
主計總處 0.009736(345/372)	近年來 0.002653(97/320)	消費者物價 0.002371(82/226)	8月21日 0.002286(82/134)	房祖名 0.00206(73/83)	環境保護 0.001891(64/274)	今103年 0.001722(63/98)	國際知名 0.001665(58/142)	物價指數 0.001665(69/292)	排放量 0.001439(47/106)	
環境保護 0.002125(73/274)	營收成長 0.001821(67/199)	衛生福利部 0.001656(56/258)	家扶兒 0.001656(60/62)	吳副總統 0.001628(61/82)	8月23日 0.001435(50/72)	搖滾音樂 0.001325(51/59)	行動上網 0.00127(45/143)	王女士 0.00127(46/46)	順育樂 0.001242(45/45)	
觀光旅遊 0.002822(111/342)	富邦人壽 0.002452(91/116)	上海福喜 0.002241(85/85)	食品公司 0.001661(63/82)	電子商務 0.001635(59/722)	星展銀行 0.001582(62/71)	南山人壽 0.00153(60/126)	熱烈討論 0.00153(54/124)	呼籲政府 0.001424(46/144)	稽徵機關 0.001424(53/72)	
智慧型手機 0.02255(812/1126)	平板電腦 0.010884(406/636)	作業系統 0.004078(150/167)	合作夥伴 0.004051(144/298)	器官捐贈 0.003538(131/131)	穿戴式裝置 0.003295(126/198)	江院長 0.00262(95/166)	觸控面板 0.002539(89/111)	手機晶片 0.002539(98/178)	換機 0.002512(89/183)	
工作人員 0.010246(369/512)	求職者 0.005609(202/264)	103年6月 0.004304(163/604)	文教基金會 0.003138(117/284)	無人 0.002916(110/540)	美國國務卿 0.002638(100/250)	產業園區 0.002583(92/180)	總統朴槿惠 0.002471(88/228)	人數為 0.002416(84/136)	國務卿凱瑞 0.002305(85/226)	
台灣市場 0.004414(147/286)	開賣 0.002962(96/207)	媒體報導 0.00262(92/830)	清算行 0.002221(78/78)	經濟對話 0.002193(79/149)	今年3月 0.002136(66/370)	救人 0.001566(59/190)	騎單車 0.001566(54/98)	擺攤 0.001566(49/78)	7月18日 0.001566(49/96)	
台塑集團 0.007324(276/292)	下午4時 0.005891(221/536)	高速公路 0.005552(211/264)	高雄市政府 0.005161(192/1468)	幸福人壽 0.004874(187/187)	國寶人壽 0.004118(158/295)	公車路線 0.003962(158/200)	交通局長 0.003701(138/251)	河靜鋼鐵 0.003337(128/128)	障礙者 0.003024(118/314)	
台中市長 0.008423(303/622)	馬英九總統 0.007984(301/714)	競選總部 0.005871(214/358)	大台中 0.005707(207/218)	參選人林佳龍 0.004033(147/147)	市長胡志強 0.003951(152/654)	發表聲明 0.003814(133/404)	市長參選人 0.003155(107/712)	競選團隊 0.0031(111/193)	國營事業 0.003073(114/210)	
實價課稅 0.004179(151/390)	新台幣兌 0.002485(86/259)	台北外匯 0.002146(76/76)	成交金額 0.001977(66/456)	今天開盤價 0.001864(66/66)	經紀公司 0.001723(59/94)	來回機票 0.00161(52/125)	今年營收 0.001581(55/145)	外匯交易員 0.001581(56/56)	6月1日 0.001553(49/120)	
新鮮事 0.020493(739/1324)	天下新鮮 0.020354(724/1308)	復興航空 0.005012(184/668)	下午5時 0.004873(169/530)	週四台北 0.002618(90/804)	國安會秘書長 0.002172(77/180)	綠美化 0.002144(77/109)	黑箱服貿 0.002061(74/81)	新車 0.001699(61/358)	馬總統 0.001587(64/2302)	
主管機關 0.00704(240/1112)	今年4月 0.005024(184/366)	相關規定 0.003577(114/272)	新產品 0.002555(83/521)	汽車公司 0.002299(81/102)	即日起到 0.002158(71/114)	鼓勵民眾 0.001732(60/168)	豐田汽車 0.001647(57/67)	來回機票 0.001618(63/125)	現金股利 0.001448(50/282)	
103年7月 0.012187(461/586)	鐵路電氣化 0.007953(310/310)	花東鐵路 0.007543(294/294)	普悠瑪號 0.007312(286/286)	到台東 0.004054(160/192)	強陣風 0.003977(156/311)	普悠瑪列車 0.002951(115/115)	電力公司 0.002232(88/152)	台北到 0.002078(80/104)	7月16日 0.002053(80/114)	
標準時間 0.062133(3482/3482)	台北標準 0.062098(3479/3480)	時間上午 0.031798(1782/1782)	時間下午 0.03137(1758/1758)	2014年6月 0.015328(857/920)	中央社2014年 0.014561(823/854)	達志影像 0.014293(796/828)	2014年7月 0.013401(750/760)	週四台北 0.012223(704/804)	週三台北 0.010885(610/610)	
