今天表示 0.003784(129/1074)	自由貿易 0.003582(121/474)	社會福利 0.003149(115/286)	宣布參選 0.003091(110/273)	公司表示 0.002484(81/290)	網路購物 0.001878(61/100)	即時通訊 0.001849(63/72)	美國市場 0.00182(62/133)	台北市民 0.001762(64/150)	登錄興櫃 0.001705(61/111)	
基隆市長 0.008758(300/789)	國民黨提名 0.002814(96/266)	電力公司 0.002613(89/152)	上午8時 0.00247(87/282)	上海福喜 0.002441(85/85)	基隆市議會 0.002441(83/147)	基隆市政府 0.002154(73/125)	空品淨化區 0.00201(70/70)	市議會議長 0.001981(69/132)	河野談話 0.001953(68/68)	
房地合一 0.011225(478/478)	罹難者 0.009534(410/784)	實價課稅 0.009135(390/390)	復興航空 0.007045(309/668)	監督條例 0.006528(275/689)	兩岸協議 0.005542(233/581)	協議監督 0.00465(200/503)	合一實價 0.003499(149/149)	今天表示 0.003358(141/1074)	合一課稅 0.003076(131/131)	
智慧型手機 0.018832(717/1126)	平板電腦 0.009809(382/636)	大股東 0.006905(266/356)	報告指出 0.005153(198/344)	社會責任 0.004604(180/338)	合作夥伴 0.004185(152/298)	報導指出 0.002877(109/498)	供應鏈 0.002668(96/584)	穿戴式裝置 0.002537(97/198)	手機晶片 0.002485(91/178)	
解決方案 0.005243(186/466)	壽險公司 0.004002(143/273)	人士指出 0.003833(138/370)	台灣市場 0.003382(121/286)	國際市場 0.002762(97/254)	上班上課 0.002678(94/146)	季營運 0.002452(87/237)	海外投資 0.00234(90/167)	知情人士 0.00234(84/176)	清算行 0.002199(78/78)	
2014年8月 0.006262(219/796)	接受媒體 0.005526(195/314)	媒體訪問 0.004477(156/222)	強陣風 0.004392(156/311)	議長黃景泰 0.004024(145/384)	市長選舉 0.00323(110/299)	遊客中心 0.003145(111/137)	僑教中心 0.002834(104/111)	8月21日 0.002749(95/134)	高美濕地 0.002607(92/114)	
馬總統 0.038073(1516/2302)	好戰分子 0.004057(160/165)	人事同意權 0.003931(148/405)	總統表示 0.002419(97/240)	總統馬英九 0.002243(93/1040)	安全部隊 0.002192(89/89)	總統說 0.002092(90/350)	公司董事長 0.001966(76/320)	好戰份子 0.001915(77/80)	小股東 0.001865(69/202)	
加權指數 0.003493(175/219)	新台幣兌 0.002811(142/259)	經濟發展 0.00273(141/1042)	小跌 0.00265(132/180)	字頭 0.002309(119/188)	大法人 0.002128(110/361)	印度股市 0.002088(104/106)	國際股市 0.002028(101/101)	標準普爾 0.002008(95/110)	大陸股市 0.001706(82/100)	
新藥 0.013484(452/454)	大陸市場 0.013095(455/674)	創下歷史 0.004195(134/248)	工業電腦 0.003416(114/143)	國際機場 0.003356(110/308)	臨床試驗 0.002937(98/122)	分離主義 0.002937(99/179)	市場規模 0.002727(88/170)	今天宣布 0.002457(76/202)	生技產業 0.002308(79/216)	
勞動部 0.009484(349/460)	參選人連勝文 0.007576(263/728)	國民黨台北市長 0.005724(204/564)	工作機會 0.005107(183/320)	在野整合 0.005023(179/294)	洽詢電話 0.004237(141/302)	立委姚文智 0.003508(118/141)	官員表示 0.002834(100/444)	整合民調 0.002806(101/108)	柯文哲說 0.002694(94/334)	
世界展望會 0.002422(81/82)	金融債 0.002093(70/122)	不少人 0.002003(69/226)	台灣世界 0.001764(61/81)	台灣市場 0.001734(55/286)	廣播公司 0.001704(55/102)	來台灣 0.001644(51/286)	資助人 0.001615(54/54)	身分認證 0.001495(50/57)	旅遊旺季 0.001375(46/158)	
人受傷 0.007142(253/330)	7月1日 0.006564(233/602)	股份有限公司 0.004627(159/288)	搭車 0.004222(145/292)	人死亡 0.003933(136/280)	縣長參選人 0.003875(132/253)	無人 0.003586(116/540)	下午2時 0.002834(100/222)	外籍勞工 0.002631(89/200)	今天下午 0.002631(83/406)	
歷史新高 0.009989(344/928)	基本工資 0.007924(271/700)	物價指數 0.00665(235/292)	工資審議 0.00532(188/188)	消費者物價 0.004981(173/226)	呼籲民眾 0.004443(156/250)	值得注意 0.004245(141/376)	客家文化 0.003764(132/254)	國家公園 0.003113(113/484)	難求 0.002972(115/218)	
新聞相關 0.052239(2117/2914)	相關影音 0.052016(2089/2756)	國家公園 0.00786(310/484)	國民黨立委 0.00776(308/486)	縣長吳志揚 0.005975(240/374)	副縣長 0.005157(214/562)	召開記者會 0.004934(194/822)	桃園縣長 0.004612(183/240)	受訪表示 0.004537(176/302)	縣長葉世文 0.003323(146/306)	
經濟發展 0.007049(268/1042)	太陽光電 0.003721(139/174)	台灣民眾 0.00325(121/560)	兩岸經濟 0.003145(112/280)	模範父親 0.002725(106/121)	陸委會副主委 0.002673(103/222)	張顯耀 0.002306(90/192)	特任副主委 0.002123(81/81)	貨貿協議 0.00207(80/145)	主委王郁琦 0.001939(79/390)	
公民基金會 0.003695(123/176)	地球公民 0.003608(121/176)	財團法人 0.003055(104/290)	管理委員會 0.00288(99/188)	大陸地區 0.002764(88/226)	監督管理 0.002386(87/108)	國泰世華 0.002095(75/193)	行動裝置 0.001833(64/422)	行政機關 0.001775(62/106)	金融監督 0.001775(60/72)	
社會住宅 0.011278(440/792)	都市更新 0.008478(325/342)	行動裝置 0.005391(200/422)	國營事業 0.002381(89/210)	雲端運算 0.002303(84/194)	大企業 0.002251(87/174)	年輕族群 0.002198(86/230)	新產品 0.00212(84/521)	大陸央行 0.002067(79/85)	就業機會 0.00191(75/432)	
澎湖空難 0.003176(114/226)	沒問題 0.002361(81/196)	生態旅遊 0.001912(66/117)	麥德姆颱風 0.001827(61/322)	班機墜毀 0.001799(64/64)	生物多樣性 0.001602(59/248)	赴美 0.001602(56/100)	復興班機 0.001434(51/52)	專輯慟 0.001406(50/50)	墜毀澎湖 0.001406(50/50)	
