為例 0.006324(219/836)	國道收費員 0.00461(164/164)	交通部長葉匡時 0.004048(146/184)	遠通電收 0.003598(128/128)	收費員自救會 0.002586(92/92)	宏達電 0.00253(93/211)	遠通公司 0.00253(90/90)	年減 0.002333(82/207)	投資標的 0.002136(76/135)	今天上午 0.002108(79/430)	
解決方案 0.004948(173/466)	社會責任 0.004073(129/338)	國際市場 0.003258(107/254)	金融海嘯 0.003138(99/272)	半導體產業 0.002866(97/148)	季營運 0.002715(92/237)	未來發展 0.002655(85/246)	大陸政府 0.002323(77/234)	競爭激烈 0.002021(68/186)	產能過剩 0.001931(67/103)	
兩岸關係 0.033093(1434/1526)	國台辦主任 0.018084(786/968)	主任張志軍 0.016661(743/954)	來台 0.012599(564/2678)	和平發展 0.008514(377/390)	大陸國台辦 0.006701(290/628)	太陽花 0.004911(207/416)	關係和平 0.004865(212/212)	花學運 0.004544(199/382)	台灣民眾 0.004315(193/560)	
監督條例 0.009803(491/689)	兩岸協議 0.008617(438/581)	自由貿易 0.00842(424/474)	服貿協議 0.008202(400/822)	協議監督 0.007353(367/503)	航空公司 0.004625(228/808)	民進黨主席 0.004427(225/598)	災害應變 0.003933(201/384)	台灣經濟 0.003933(200/728)	貿易協議 0.003716(193/339)	
鐵路電氣化 0.008309(310/310)	花東鐵路 0.00788(294/294)	普悠瑪號 0.007666(286/286)	到台東 0.004155(155/192)	普悠瑪列車 0.003082(115/115)	文化園區 0.002573(97/176)	台北到 0.002252(86/104)	電氣化通車 0.002064(77/77)	行車時間 0.001796(66/67)	民眾搭乘 0.001796(67/98)	
中央社翻譯 0.005014(187/318)	競選總部 0.004241(153/358)	服務中心 0.003897(142/326)	台灣高鐵 0.003152(110/252)	房地產市場 0.002808(99/232)	大陸官方 0.002608(92/286)	美國商會 0.002493(90/106)	不少人 0.002464(91/226)	高鐵公司 0.002378(86/168)	托育資源 0.00235(83/83)	
網路簡訊 0.004329(146/146)	駐美 0.002935(92/122)	國泰人壽 0.00258(87/159)	美代表 0.00252(87/104)	線上報名 0.002224(76/100)	海外不動產 0.002135(73/78)	日本投資 0.002076(70/70)	海外投資 0.002046(68/167)	投資說明會 0.001868(63/63)	為免費 0.001809(61/61)	
標準時間 0.074033(3109/3482)	台北標準 0.073819(3123/3480)	時間上午 0.042339(1778/1782)	時間下午 0.031695(1336/1758)	2014年6月 0.02155(904/920)	中央社2014年 0.020336(854/854)	週四台北 0.016002(662/804)	拍攝者 0.01074(444/476)	週二台北 0.009954(411/492)	上午6時 0.009501(403/624)	
監察委員 0.01017(364/506)	應變中心 0.007036(250/470)	同意權投票 0.005195(190/210)	達人 0.003793(137/414)	營收為 0.003463(125/321)	立法院同意 0.003188(116/116)	考試委員 0.002996(110/247)	審查小組 0.002529(91/97)	黨籍立委 0.002254(80/98)	監委名單 0.002254(82/82)	
冰桶挑戰 0.008945(310/318)	凍人協會 0.003532(123/148)	女王頭 0.003184(110/110)	凍人募款 0.002634(92/92)	接受挑戰 0.002548(85/132)	受歡迎 0.002432(84/242)	公益活動 0.002113(71/340)	淋冰水 0.001737(60/60)	縣長選舉 0.00165(55/106)	金城武 0.001621(56/102)	
